,,,,,,,,,,,,,
"University of Arkansas - Fayetteville (Walton)",63,-,-,-,-,43,650,25,3.46,0.606,0.84,64592,6160
"University of Oklahoma (Price)",63,-,80,-,-,36,628,26,3.39,0.531,0.875,69300,8500
"University of Tennessee - Knoxville",63,-,55,-,-,73,605,27,3.32,0.738,0.912,76351,9375
"Iowa State University",63,-,-,-,-,39,636,24,3.45,0.527,0.952,59691,5195
"Texas Christian University (Neeley)",63,-,-,-,-,43,638,28,3.27,0.484,0.921,85367,14250
"University of Cincinnati (Lindner)",70,-,47,-,-,59,622,24,3.5,0.701,0.931,58428,6083
"University of Utah (Eccles)",70,-,61,65,-,117,596,27,3.44,0.553,0.902,77900,13100
"North Carolina State University (Jenkins)",70,-,54,-,-,42,639,27,3.26,0.453,0.875,78204,7959
"University of Louisville",70,-,-,-,-,42,607,25,3.42,0.478,0.886,55720,20000
"University of South Carolina (Moore)",74,94,71,53,-,34,666,29,3.28,0.62,0.701,85732,12417
"College of William and Mary (Mason)",74,-,-,-,-,100,611,28,3.3,0.578,0.864,76520,12401
"University of Massachusetts at Amherst (Isenberg)",74,-,-,-,-,25,648,28,3.4,0.248,0.7,81583,16500
"Louisiana State University - Baton Rouge (Ourso)",77,-,-,67,-,35,620,23,3.3,0.426,0.904,56656,4458
"Baruch College (Zicklin)",77,-,-,-,-,53,630,28,3.24,0.341,0.841,77000,11188
"University of Missouri (Trulaske)",79,-,70,58,-,70,647,25,3.48,0.433,0.738,57219,4056
"University of Buffalo - SUNY",79,-,39,40,-,111,614,25,3.38,0.478,0.778,63044,9455
"University of Miami",79,-,-,-,-,100,621,26,3.25,0.28,0.808,71674,14891
"University of Oregon (Lundquist)",79,-,-,-,-,40,628,28,3.36,0.629,0.813,71831,9429
"Auburn University (Harbert)",83,-,-,-,-,36,616,26,3.23,0.408,0.853,56439,3875
"Chapman University (Argyros)",83,-,-,-,-,33,629,25,3.35,0.548,0.875,61667,7500
"University of Tulsa (Collins)",83,-,-,-,-,27,566,26,3.71,0.582,1,61055,4928
"Clemson University",86,-,-,-,-,69,587,28,3.27,0.656,0.952,53500,5167
"University of Colorado - Boulder (Leeds)",86,-,-,-,-,74,611,28,3.36,0.61,0.667,72767,5750
"St. Louis University (Cook)",88,-,-,-,-,35,563,27,3.3,0.647,0.909,65563,N/A
"University of Kansas",88,-,-,-,-,29,594,28,3.32,0.506,0.955,58563,3875
"Syracuse University (Whitman)",90,-,-,-,-,46,639,25,3.33,0.527,0.667,66648,N/A
"Rochester Institute of Technology (Saunders)",91,-,-,-,-,61,532,26,3.31,0.492,0.944,48932,3833
"Texas Tech University (Rawls)",91,-,-,-,-,96,559,25,3.39,0.631,0.839,57107,N/A
"Thunderbird School of Global Management",91,-,-,-,-,96,605,28,3.3,0.562,0.638,78123,11426
"University of Kentucky (Gatton)",91,-,-,-,-,72,610,24,3.48,0.833,0.712,56980,0
"Binghamton University - SUNY",95,-,-,-,-,53,606,23,3.37,0.597,0.741,68000,8667
"DePaul University (Kellstadt)",95,-,-,-,-,28,622,26,3.19,0.459,0.759,65473,5720
"Mississippi State University",95,-,-,-,-,26,566,24,3.61,0.553,0.846,43347,0
"Rensselaer Polytechnic Institute (Lally)",95,-,-,-,-,9,625,25,3.27,0.542,0.708,64300,13500
"University of Houston (Bauer)",95,-,-,-,-,40,601,28,3.35,0.408,0.732,65559,5333
"West Virginia University",95,-,-,-,-,41,617,24,3.37,0.488,0.8,45000,8150
"About GMAT Club: Every year, brilliant minds of business school applicants develop strategies, research school information, and master interviews, only for the same process to be repeated the following year by the new applicant pool.  In 2002, GMAT Club was formed to help preserve the collective knowledge of MBA students – to contribute to each other’s learning. Through information sharing and the development of new resources, it is our goal to improve the Business School application process.",,,,,,,,,,,,,
