id,type,legal_basis,pdf_link,programme,reg_date,remark,address,birth,citizen,name,passport,serialid
50,P,1210/2003 (OJ L 169),http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2003:169:0006:0023:EN:PDF,IRQ,2003-07-09,UNSC RESOLUTION 1483 BASIS:,,"1952 Tikrit , 1955-05-04 Tikrit",IRQ,"Kamal Mustafa Abdallah Republican Guard Secretary , Kamal Mustafa Abdallah Led Special Republican Guards and commanded both Republican Guard Corps , Kamal Mustafa Abdallah Sultan al-Tikriti Republican Guard Secretary , Kamal Mustafa Abdallah Sultan al-Tikriti Led Special Republican Guards and commanded both Republican Guard Corps , Kamal Mustafa Abdallah Sultan Al-Tikriti ES , Kamal Moustafa Abdallah FR , Kamal Moustafa Abdallah Soultan al-Tikriti FR",,11
53,P,1210/2003 (OJ L 169),http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2003:169:0006:0023:EN:PDF,IRQ,2003-07-09,UNSC RESOLUTION 1483 BASIS,,"1960 Salah al-Din , Salaheddine (J.O. FR) , Salah Al-Din (J.O. ES)",IRQ,"Barzan Abd al-Ghafur Sulaiman Majid Al-Tikriti Commander, Special Republican Guard , Barzan Razuki Abd al-Ghafur Commander, Special Republican Guard , Barzan Razuki Abd Al-Ghafur ES , Barzan Abdel Ghafour Souleiman Majid Al-Tikriti FR , Barzan Razuki Abdel Ghafour FR",,12
54,P,1210/2003 (OJ L 169),http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2003:169:0006:0023:EN:PDF,IRQ,2003-07-09,UNSC RESOLUTION 1483 BASIS,,"1946 circa Salah al-Din , 1946 circa al-Awja near Tikrit , 1949 Salah al-Din , 1949 al-Awja near Tikrit , 1960 Salah al-Din , 1960 al-Awja near Tikrit , Salaheddine (J.O. FR)",IRQ,"Muzahim Sa'b Hassan Al-Tikriti Led Iraq's Air Defence Forces , Muzahim Sa'b Hassan Al-Tikriti Deputy Director of Organisation of Military Industrialisation , Muzahem Saab Hassan Al-Tikriti FR",,13
58,P,1210/2003 (OJ L 169),http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2003:169:0006:0023:EN:PDF,IRQ,2003-07-09,UNSC RESOLUTION 1483 BASIS,,"1950 Mosul , Mossoul (J.O. FR)",", IRQ","Ibrahim Ahmad Abd al-Sattar Muhammed Al-Tikriti Armed Forces Chief of Staff , Ibrahim Ahmed Abdel Sattar Mohammed Al-Tikriti FR",,14
60,P,1210/2003 (OJ L 169),http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2003:169:0006:0023:EN:PDF,IRQ,2003-07-09,UNSC RESOLUTION 1483 BASIS,,1953 Ramadi,IRQ,"Saif-al-Din Fulayyih Hassan Taha Al-Rawi Republican Guard Chief of Staff , Ayad Futayyih Al-Rawi Republican Guard Chief of Staff , Saf-al-Din Foula Hassan Taha Al-Raoui FR , Ayad Fouta Al-Raoui FR",,15
63,P,1210/2003 (OJ L 169),http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2003:169:0006:0023:EN:PDF,IRQ,2003-07-09,UNSC RESOLUTION 1483 BASIS,,1954 circa Tikrit,IRQ,"Rafi Abd-al-Latif Tilfah Al-Tikriti Director of Directorate of General Security , Rafi Abdel Latif Tilfa Al-Tikriti FR",,16
65,P,1210/2003 (OJ L 169),http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2003:169:0006:0023:EN:PDF,IRQ,2003-07-09,UNSC RESOLUTION 1483 BASIS,,1950 Tikrit,IRQ,"Tahir Jalil Habbush Al-Tikriti Director of Iraqi Intelligence Services , Tahir Jalil Habbush Al-Tikriti Head of Directorate of General Security 1997 to 1999 , Tahir Jalil Habbouch Al-Tikriti FR",,17
96,P,1210/2003 (OJ L 169),http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2003:169:0006:0023:EN:PDF,IRQ,2003-07-09,UNSC RESOLUTION 1483 BASIS,,"1947 al-Anbar Governate , 1949 al-Anbar Governate , Provinz Anbar (J.O. DE)",IRQ,"Muhammad Mahdi Al-Salih Minister of Trade, 1987 to 2003 , Muhammad Mahdi Al-Salih Chief, Presidential Office, mid-1980s , Mohammed Mahdi Al-Saleh FR",,18
67,P,1210/2003 (OJ L 169),http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2003:169:0006:0023:EN:PDF,IRQ,2003-07-09,UNSC RESOLUTION 1483 BASIS,,"1950 Bayji, Salah al-Din Governorate , Bayji, Gobernaci_n de Salah Al-Din (J.O. ES) , Salaheddine (J.O. FR)",IRQ,"Hamid Raja Shalah Al-Tikriti Air Force Commander , Hassan Al-Tikriti Air Force Commander , Hamid Raja-Shalah Hassum Al-Tikriti Air Force Commander , Hamid Raja Chala Al-Tikriti FR , Hamid Raja-Chala Hassoum Al-Tikriti FR",,19
68,P,1210/2003 (OJ L 169),http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2003:169:0006:0023:EN:PDF,IRQ,2003-07-09,UNSC RESOLUTION 1483 BASIS,,"1941 circa ar-Rashidiyah, suburb of Baghdad",IRQ,"Latif Nusayyif Jasim Al-Dulaymi Ba'th Party Military Bureau Deputy Chairman , Latif Nusayyif Jasim Al-Dulaymi Labour and Social Affairs Minister (1993 to 1996) , Latif Noussaf Jassim Al-Doulami FR",,20
69,P,1210/2003 (OJ L 169),http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2003:169:0006:0023:EN:PDF,IRQ,2003-07-09,UNSC RESOLUTION 1483 BASIS,,"1957 circa Mosul , 1957 circa Baghdad , 1942-03-14 Mosul , 1942-03-14 Baghdad",IRQ,"Abd-al-Tawwab Mullah Huwaysh Deputy Prime Minister , Abd-al-Tawwab Mullah Huwaysh Director of Organisation of Military Industrialisation , Abdel-Taouab Moullah Houwach FR",,21
70,P,151/2012 (OJ L 49),http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2012:049:0002:0016:EN:PDF,ZWE,2012-02-23,Date of designation referred to in Article 7 (2): 25.7.2002.,,1965-07-23,,Mugabe Grace F,"AD001159 , 63-646650Q70 (ID)",22
71,P,1210/2003 (OJ L 169),http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2003:169:0006:0023:EN:PDF,IRQ,2003-07-09,UNSC RESOLUTION 1483 BASIS,,1938 circa Mosul IRQ,IRQ,"Taha Yassin Ramadan Al-Jizrawi Vice President since 1991 , Taha Yassine Ramadan Al-Jizraoui FR",,23
73,P,1210/2003 (OJ L 169),http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2003:169:0006:0023:EN:PDF,IRQ,2003-07-09,UNSC RESOLUTION 1483 BASIS,,1956 Tikrit,IRQ,"Rukan Razuki Abd-al-Ghafur Sulaiman Al-Tikriti Head of Tribal Affairs in Presidential Office , Rukan Abdal-Ghaffur Sulayman al-Majid Head of Tribal Affairs in Presidential Office , Rukan Razuqi Abd al-Ghafur Al-Majid Head of Tribal Affairs in Presidential Office , Rukan Abd al-Ghaffur al-Majid Al-Tikriti Abu Walid Head of Tribal Affairs in Presidential Office , Rukan Abdal-Ghaffur Sulayman Al-Majid ES , Rukan Razuqi Abd Al-Ghafur Al-Majid ES , Rukan Abd Al-Ghaffur Al-Majid Al-Tikriti Abu Walid ES , Roukan Razouki Abdel-Ghafar Souleiman Al-Tikriti FR , Roukan Abdel-Ghaffar Souleiman al-Majid FR , Roukan Razouki Abdel-Ghafar Al-Majid FR , Roukan Abdel-Ghaffar al-Majid Al-Tikriti Abou Walid FR",,24
76,P,1210/2003 (OJ L 169),http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2003:169:0006:0023:EN:PDF,IRQ,2003-07-09,UNSC RESOLUTION 1483 BASIS,,"1955-05-04 al-Samnah, near Tikrit IRQ",IRQ,"Jamal Mustafa Abdallah Sultan Al-Tikriti Deputy Head of Tribal Affairs in Presidential Office , Jamal Mustafa Abdallah Sultan al-Tikriti FI , Jamal Moustafa Abdallah Soultan Al-Tikriti FR",,25
79,P,1210/2003 (OJ L 169),http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2003:169:0006:0023:EN:PDF,IRQ,2003-07-09,UNSC RESOLUTION 1483 BASIS,,"1938 Mandali District, Diyala , Mandalin piiri, Diyala (J.O. FI)",IRQ,"Mizban Khadr Hadi Member, Ba'th Party Regional Command and Revolutionary Command Council since 1991",,26
81,P,1210/2003 (OJ L 169),http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2003:169:0006:0023:EN:PDF,IRQ,2003-07-09,UNSC RESOLUTION 1483 BASIS,,"1924 Sulaymaniyah , Souleimaniyah (J.O. FR)",", IRQ","Taha Muhyi-al-Din Ma'ruf Vice President, Revolutionary Command Council , Taha Mouhi-al-Din Marouf FR",,27
83,P,1210/2003 (OJ L 169),http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2003:169:0006:0023:EN:PDF,IRQ,2003-07-09,UNSC RESOLUTION 1483 BASIS,,"1936-07-01 Mosul IRQ , 1936-07-01 Baghdad IRQ",IRQ,"Aziz Tariq Deputy Prime Minister , Aziz Tariq Mikhail Deputy Prime Minister , Aziz Tarek FR , Aziz Tarek Mikhail FR",34409/129 (July 1997),28
86,P,1210/2003 (OJ L 169),http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2003:169:0006:0023:EN:PDF,IRQ,2003-07-09,UNSC RESOLUTION 1483 BASIS,,1954 Tikrit,", IRQ","Walid Hamid Tawfiq Al-Tikriti Governor of Basrah , Walid Hamid Tawfiq al-Nasiri Governor of Basrah , Walid Hamid Tawfiq Al-Nasiri ES , Walid Hamid Tawfik Al-Tikriti Gouverneur de Bassora FR , Walid Hamid Tawfik al-Nasiri Gouverneur de Bassora FR",,29
87,P,1210/2003 (OJ L 169),http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2003:169:0006:0023:EN:PDF,IRQ,2003-07-09,UNSC RESOLUTION 1483 BASIS,,"1944 Mosul , Mossoul (J.O. FR)",IRQ,"Sultan Hashim Ahmad Al-Ta'i Minister of Defence , Soultan Hachim Ahmed Al-Tai FR",,30
89,P,1210/2003 (OJ L 169),http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2003:169:0006:0023:EN:PDF,IRQ,2003-07-09,UNSC RESOLUTION 1483 BASIS,,1934 Diyala,IRQ,"Hikmat Mizban Ibrahim al-Azzawi Deputy Prime Minister and Finance Minister , Hikmat Mizban Ibrahim al-Azzaoui FR",,31
90,P,1210/2003 (OJ L 169),http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2003:169:0006:0023:EN:PDF,IRQ,2003-07-09,UNSC RESOLUTION 1483 BASIS,,"1953 Baghdad , 1953 Mosul , Bagdad (J.O. FR) , Mossoul (J.O. FR)",IRQ,"Mahmud Dhiyab Al-Ahmed Minister of Interior , Mahmoud Dhiab Al-Ahmed FR",,32
91,P,1210/2003 (OJ L 169),http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2003:169:0006:0023:EN:PDF,IRQ,2003-07-09,UNSC RESOLUTION 1483 BASIS,,1942 circa Rawah,IRQ,"Ayad Futayyih Khalifa Al-Rawi Chief of Staff, Quds Force, 2001 to 2003 , Ayad Futayyih Khalifa Al-Rawi Former Governor of Baghdad and Ta'mim",,33
92,P,1210/2003 (OJ L 169),http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2003:169:0006:0023:EN:PDF,IRQ,2003-07-09,UNSC RESOLUTION 1483 BASIS,,1948 circa,IRQ,"Zuhair Talib Abd-al-Sattar Al-Naqib Director, Military Intelligence , Zouheir Taleb Abdel Sattar al-Nakib FR",,34
93,P,1210/2003 (OJ L 169),http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2003:169:0006:0023:EN:PDF,IRQ,2003-07-09,UNSC RESOLUTION 1483 BASIS,,1938-04-05 Baghdad IRQ,IRQ,"Amir Hamudi Hassan Al-Sa'di Presidential Scientific Advisor , Amir Hamudi Hassan Al-Sa'di Senior Deputy, Organisation of Military Industrialisation, 1988 to 1991 , Amir Hamudi Hassan Al-Sa'di Former President, Technical Corps for Special Projects , Amir Hamoudi Hassan Al-Sadi FR","33301/862 (Issued: 17 October 1997Expires: 1 October 2005) , ?M0003264580(Issued: Unknown Expires: Unknown) , ?H0100009 (Issued: May 2001 Expires: Unknown)",35
94,P,1210/2003 (OJ L 169),http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2003:169:0006:0023:EN:PDF,IRQ,2003-07-09,UNSC RESOLUTION 1483 BASIS,,"1939 Baghdad , Bagdad (J.O. FR)",IRQ,"Amir Rashid Muhammad Al-Ubaidi Minister of Oil, 1996 to 2003 , Amir Rashid Muhammad Al-Ubaidi Head, Organisation of Military Industrialisation, early 1990s , Amir Rachid Mohammed Al-Oubadi FR",,36
95,P,1210/2003 (OJ L 169),http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2003:169:0006:0023:EN:PDF,IRQ,2003-07-09,UNSC RESOLUTION 1483 BASIS,,"1953 Tikrit , 1958 Tikrit",IRQ,"Husam Muhammad Amin Al-Yassin Head, National Monitoring Directorate , Houssam Mohammed Amin Al-Yassine FR",,37
234,E,2119/2003 (OJ L 318),http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2003:318:0009:0010:EN:PDF,IRQ,2003-12-03,,"Rashid Street Baghdad/Bagdad IRQ , offices JOR , offices GBR , offices ARE , offices YEM , offices SDN , offices EGY , offices IRQ",,,"Rafidain Bank , Al-Rafidain Bank",,38
98,P,1210/2003 (OJ L 169),http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2003:169:0006:0023:EN:PDF,IRQ,2003-07-09,UNSC RESOLUTION 1483 BASIS,,1947 Tikrit,IRQ,"Sab'awi Ibrahim Hassan Al-Tikriti Presidential Advisor , Sab'awi Ibrahim Hassan Al-Tikriti Director of General Security, early 1990s , Sab'awi Ibrahim Hassan Al-Tikriti Chief, Iraqi Intelligence Services, 1990 to 1991 , Sabaoui Ibrahim Hassan Al-Tikriti FR",,39
99,P,1210/2003 (OJ L 169),http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2003:169:0006:0023:EN:PDF,IRQ,2003-07-09,UNSC RESOLUTION 1483 BASIS,,1952 Tikrit,IRQ,"Watban Ibrahim Hassan Al-Tikriti Presidential Advisor , Watban Ibrahim Hassan Al-Tikriti Minister of Interior, Early 1990s , Watab Ibrahim al-Hassan Presidential Advisor , Watab Ibrahim al-Hassan Minister of Interior, Early 1990s",,40
101,P,1210/2003 (OJ L 169),http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2003:169:0006:0023:EN:PDF,IRQ,2003-07-09,UNSC RESOLUTION 1483 BASIS,,1951 Tikrit,IRQ,"Barzan Ibrahim Hassan Al-Tikriti Presidential Advisor , Barzan Ibrahim Hassan Al-Tikriti Permanent Representative to UN (Geneva), 1989 to 1998 , Barzan Ibrahim Hassan Al-Tikriti Head, Iraqi Intelligence Services, early 1980s",,41
103,P,1210/2003 (OJ L 169),http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2003:169:0006:0023:EN:PDF,IRQ,2003-07-09,UNSC RESOLUTION 1483 BASIS,,1953 Baghdad,IRQ,"Huda Salih Mahdi Ammash Member, Ba'th Party Regional Command , Huda Salih Mahdi Ammash Head, Biological Laboratories, Military Industrial Organisation, mid-1990s , Huda Salih Mahdi Ammash Former Head, Student and Youth Bureau, Ba'th Party , Huda Salih Mahdi Ammash Former Head, Professional Bureau of Women's Affairs , Houda Sali Mahdi Ammach FR",,42
104,P,1210/2003 (OJ L 169),http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2003:169:0006:0023:EN:PDF,IRQ,2003-07-09,UNSC RESOLUTION 1483 BASIS,,1947,IRQ,"Abd-al-Baqi Abd-al-Karim Abdallah Al-Sa'dun Ba'th Party Regional Command Chairman, Diyala , Abd-al-Baqi Abd-al-Karim Abdallah Al-Sa'dun Deputy Commander, Southern Region, 1998 to 2000 , Abd-al-Baqi Abd-al-Karim Abdallah Al-Sa'dun Former National Assembly Speaker , Abdel-Baki Abdel-Karim Abdalla Al-Sadoun FR",,43
105,P,1210/2003 (OJ L 169),http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2003:169:0006:0023:EN:PDF,IRQ,2003-07-09,UNSC RESOLUTION 1483 BASIS,,"1942 Suq Ash-Shuyukh District, Dhi-Qar , Souq ach-Chouyoukh, Zi-Qar (J.O. FR)",IRQ,"Muhammad Zimam Abd-al-Razzaq Al-Sa'dun Ba'th Party Regional Command Chairman, At-Tamin , Muhammad Zimam Abd-al-Razzaq Al-Sa'dun Minister of Interior, 1995 to 2001 , Mohammed Zimam Abdel-Razzak Al-Sadoun FR",,44
123,P,1210/2003 (OJ L 169),http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2003:169:0006:0023:EN:PDF,IRQ,2003-07-09,UNSC RESOLUTION 1483 BASIS,,"1937 Baghdad , 1938 Baghdad",IRQ,"Samir Abd al-Aziz Al-Najim Ba'th Party Regional Command Chairman, East Baghdad , Samir Abd Al-Aziz Al-Najim ES , Samir Abdel-Aziz Al-Najim FR",,45
124,P,1210/2003 (OJ L 169),http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2003:169:0006:0023:EN:PDF,IRQ,2003-07-09,UNSC RESOLUTION 1483 BASIS,,1945 Ar-Ramadi,", IRQ","Humam Abd-al-Khaliq Abd-al-Ghafur Minister of Higher Education and Research, 1992 to 1997, 2001 to 2003 , Humam Abd-al-Khaliq Abd-al-Ghafur Minister of Culture, 1997 to 2001 , Humam Abd-al-Khaliq Abd-al-Ghafur Director and Deputy Director, Iraqi Atomic Energy Organisation, 1980s , Humam 'Abd al-Khaliq 'Abd al-Rahman Minister of Higher Education and Research, 1992 to 1997, 2001 to 2003 , Humam 'Abd al-Khaliq 'Abd al-Rahman Minister of Culture, 1997 to 2001 , Humam 'Abd al-Khaliq 'Abd al-Rahman Director and Deputy Director, Iraqi Atomic Energy Organisation, 1980s , Humam 'Abd-al-Khaliq Rashid Minister of Higher Education and Research, 1992 to 1997, 2001 to 2003 , Humam 'Abd-al-Khaliq Rashid Minister of Culture, 1997 to 2001 , Humam 'Abd-al-Khaliq Rashid Director and Deputy Director, Iraqi Atomic Energy Organisation, 1980s , Houmam Abdel-Khalik Abdel-Ghafour FR , Houmam Abdel-Khalik Abdel-Rahman FR , Houmam Abdel-Khalil Rachid FR",0018061/104 (issued 12 September 1993),46
130,P,1210/2003 (OJ L 169),http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2003:169:0006:0023:EN:PDF,IRQ,2003-07-09,UNSC RESOLUTION 1483 BASIS,,,IRQ,"Yahia Abdallah Al-Ubaidi Ba'th Party Regional Command Chairman, al-Basrah , Yahia Abdalla Al-Oubadi Commandant rgional du parti Baas pour le gouvernorat de Bassora FR",,47
133,P,1210/2003 (OJ L 169),http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2003:169:0006:0023:EN:PDF,IRQ,2003-07-09,"(a) Died in 2003, (b) UNSC RESOLUTION 1483 BASIS: see function",,,IRQ,"Nayif Shindakh Thamir Ghalib Ba'th Party Regional Command Chairman, An-Najaf , Nayif Shindakh Thamir Ghalib Member, Iraqi National Assembly , Nayif Shindakh Thamir Ghalib Vorsitzender der Bezirksleitung der Baath-Partei, Nedjef DE",,48
136,P,1210/2003 (OJ L 169),http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2003:169:0006:0023:EN:PDF,IRQ,2003-07-09,UNSC RESOLUTION 1483 BASIS,,1956 Baghdad,IRQ,"Saif-al-Din Al-Mashhadani Ba'th Party Regional Command Chairman, Al-Muthanna , Saif-al-Din Al-Machhadani FR , Saif-al-Din Al-Machhadani Vorsitzender der Bezirksleitung der Baath-Partei, Muthanna DE",,49
139,P,1210/2003 (OJ L 169),http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2003:169:0006:0023:EN:PDF,IRQ,2003-07-09,UNSC RESOLUTION 1483 BASIS,,1944 Dujail,IRQ,"Fadil Mahmud Gharib Ba'th Party Regional Command Chairman, Babil , Fadil Mahmud Gharib Chairman, General Federation of Iraqi Trade Unions , Gharib Muhammad Fazel al-Mashaikhi Ba'th Party Regional Command Chairman, Babil , Gharib Muhammad Fazel al-Mashaikhi Chairman, General Federation of Iraqi Trade Unions , Fadil Mahmoud Gharib FR , Gharib Mohammed Fazel al-Machaikhi FR",,50
143,P,1210/2003 (OJ L 169),http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2003:169:0006:0023:EN:PDF,IRQ,2003-07-09,UNSC RESOLUTION 1483 BASIS,,,IRQ,"Muhsin Khadr Al-Khafaji Ba'th Party Regional Command Chairman, al-Qadisyah , Mouhssin Khadr Al-Khafaji FR",,51
146,P,1210/2003 (OJ L 169),http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2003:169:0006:0023:EN:PDF,IRQ,2003-07-09,UNSC RESOLUTION 1483 BASIS,,,IRQ,"Rashid Taan Kathim Ba'th Party Regional Command Chairman, al-Anbar , Rachid Taan Kazim FR",,52
147,P,1210/2003 (OJ L 169),http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2003:169:0006:0023:EN:PDF,IRQ,2003-07-09,UNSC RESOLUTION 1483 BASIS,,"1944 Kubaisi, al-Anbar",IRQ,"Ugla Abid Sakr Al-Zubaisi Ba'th Party Regional Command Chairman, Maysan , Saqr al-Kabisi Abd Aqala Ba'th Party Regional Command Chairman, Maysan , Ougla Abid Sakr Al-Koubassi FR",,53
153,P,1210/2003 (OJ L 169),http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2003:169:0006:0023:EN:PDF,IRQ,2003-07-09,UNSC RESOLUTION 1483 BASIS,,1944 Baghdad,IRQ,"Ghazi Hammud Al-Ubaidi Ba'th Party Regional Command Chairman, Wasit , Ghazi Hammoud Al-Oubadi FR",,54
