Username,Round,Status,Country,GMAT,UG GPA,UG Major,Int,Int Invite,Age,WE,Primary Industry,Primary Function,MBA Concentration
dimathew,R1,Applying,,710,3.34,Engineering,N,,,0,,,Strategy
drwilsey,R1,Denied without Interview,,680,3.49,Business,N,,28,5,Commercial Banking,Analyst,Real Estate
EugyMo,R2,Admitted,,700,,Economics,N,,,0,,,Strategy
s***********,R2,Applying,India,740,3.55,Computer Science,N,,25,5,Entertainment and Sports,Engineering,Marketing
caoyu0925,R2,Application Submitted,,,,,N,,,0,,,
00cld00,R1,Interviewed,China,760,3.8,Business,N,,27,4,Consumer Products,Project Management,General Management
Pchop,R2,Application Submitted,,,,,N,,,0,,,
caioguima,R1,Admitted,,750,3.2,Engineering,Y,10-13-2014,,0,Consulting,Consulting,
Private,-,-,-,-,-,-,-,-,-,-,-,-,-
goinggolfing,R1,Admitted,,710,3.64,Economics,Y,,26,4,Consumer Products,Corporate Finance,
Private,-,-,-,-,-,-,-,-,-,-,-,-,-
Private,-,-,-,-,-,-,-,-,-,-,-,-,-
hannible1357,R1,Denied with Interview,,,,,N,,,0,,,General Management
namugaji,R1,Applying,United States,720,,Engineering,N,,28,4,Manufacturing,Engineering,Sustainability
amba2013,R1,Waitlisted with Interview,,760,,,N,,,,,,Finance
Mattferg,R1,Applying,United States,,,Business,N,,,0,Commercial Banking,Analyst,Finance
downeaster,R1,Denied without Interview,United States,710,3.9,Economics,N,,,0,,,Strategy
smw678,R1,Applying,,620,3.9,Computer Science,N,,,,,,Marketing
quixote22,R1,Applying,,,,,N,,,5,Military & Defense,Military Officer,
Private,-,-,-,-,-,-,-,-,-,-,-,-,-
khapau,R1,Admitted,,,,,N,,,0,,,
maf1182,R1,Applying,Argentina,660,3.6,Business,N,,27,5,Consumer Products,Sales,Marketing
srijanbhattacharya,R1,,,,,,N,,,0,,,
Udai,R2,Applying,United States,740,3.56,Engineering,N,,24,2,Telecommunications,Marketing,
B*********,R2,Denied with Interview,,,,Engineering,Y,01-07-2015,,,,,Strategy
furbonnet,R2,Application Submitted,,730,3.3,Economics,N,,,,,,
Racer87,R2,Interviewed,,700,,Communication,Y,,27,6,Education,Analyst,Strategy
Private,-,-,-,-,-,-,-,-,-,-,-,-,-
C***********,R1,Waitlisted with Interview,United States,710,3.25,Engineering,N,,28,5,Energy and Utilities,General Management,Strategy
rohanjoedsouza,R1,Applying,India,,3.6,Computer Science,N,,26,3,Computer Software,Engineering,Entrepreneurship
cvaditya,R1,Application Submitted,United States,,,,N,,26,3,Computer Hardware,Engineering,
LockBoothMonster,R1,Waitlisted with Interview,United States,720,3,Business,N,,27,5,Commercial Banking,Securities Sales and Trading,Finance
sisar,R1,Admitted,,770,3.9,Engineering,N,,,,,,General Management
Private,-,-,-,-,-,-,-,-,-,-,-,-,-
Private,-,-,-,-,-,-,-,-,-,-,-,-,-
BruinBear,R1,Interviewed,United States,720,3.44,Liberal Arts and Humanities,N,,28,1,Law,Military Officer,
willit,R2,Denied with Interview,United States,710,,Economics,Y,01-15-2015,,,,,General Management
VadimKlimenko,R1,Applying,Azerbaijan,710,,,N,,,0,,,Finance
Aabhas,R1,,,,,,N,,,0,,,
ryave01,R2,Application Submitted,United States,750,3,Other,N,,30,5,Pharmaceuticals and Biotech,Engineering,General Management
brm21o,R1,Applying,,,,,N,,,0,,,
phawita,R2,Applying,,,,,N,,,0,,,
TripleDetroit,R1,Interviewed,United States,720,2.57,Science and Math,N,,,,,,Operations
xkshq,R2,Waitlisted with Interview,,,,Finance,Y,01-21-2015,,,,,Entrepreneurship
deliciously06,R1,Applying,,,,,N,,,0,,,Finance
Private,-,-,-,-,-,-,-,-,-,-,-,-,-
Private,-,-,-,-,-,-,-,-,-,-,-,-,-
jcm311,R1,Denied with Interview,,740,2.83,Engineering,Y,,,4,Pharmaceuticals and Biotech,Engineering,Strategy
mfel,R1,Denied with Interview,,,3.54,Business,N,,27,4,Internet and New Media,Project Management,Technology
Private,-,-,-,-,-,-,-,-,-,-,-,-,-
hanzolee,R1,Applying,Canada,,3.1,Finance,N,,39,15,Manufacturing,Consulting,Marketing
g**********,R1,Admitted,,760,3.32,Economics,N,,,,,,General Management
t***,R1,Denied with Interview,France,740,,Engineering,N,,29,4,Energy and Utilities,Corporate Finance,Strategy
Private,-,-,-,-,-,-,-,-,-,-,-,-,-
Private,-,-,-,-,-,-,-,-,-,-,-,-,-
sss27,R2,Application Submitted,India,720,3.4,Engineering,N,,21,5,Computer Software,Information Technology,
adi2222,R2,Interviewed,India,,3.36,Engineering,N,01-23-2015,25,3,Consulting,Consulting,
amjainaj,R1,Invited to Interview,,,,,Y,01-06-2015,,0,,,
jbsimon,R2,Applying,,,,,N,,,0,,,
Private,-,-,-,-,-,-,-,-,-,-,-,-,-
r****,R1,Interviewed,India,730,3.63,Engineering,Y,10-15-2014,,5,Other,General Management,Entrepreneurship
alexpe,R2,Waitlisted with Interview,Brazil,700,,,Y,01-08-2015,26,3,Consulting,,
bimaldshah,R1,,,,,,N,,,0,,,
r********,R2,Applying,,,,Economics,N,,27,7,Consulting,Consulting,Strategy
d******,R2,Matriculating,United States,740,3.5,,N,,27,5,Consulting,Marketing,
sathiyavelan,R1,Applying,,,,,N,,,0,,,General Management
Private,-,-,-,-,-,-,-,-,-,-,-,-,-
sekharchandraju,R1,Applying,,,,,N,,,0,,,
Private,-,-,-,-,-,-,-,-,-,-,-,-,-
MissC,R1,Applying,,,,,N,,,0,,,
Private,-,-,-,-,-,-,-,-,-,-,-,-,-
Rumercy,R2,Admitted,,730,,,N,,,0,,,Entrepreneurship
wengzheying,R1,Admitted,,,3.65,Finance,N,,,0,,,Marketing
roadrunner99,R1,Applying,,,,,N,,,0,,,
Peanajung,R2,Admitted,,,,,N,,,6,,,Entrepreneurship
jsumeet22,R1,Applying,,,3.45,Engineering,N,,,1,Transportation,Engineering,Finance
v***,R2,Waitlisted with Interview,,760,,Engineering,N,,,0,,,Leadership
kp1989,R2,Applying,United States,,3.03,Computer Science,N,,,0,,,
J*****,R1,Denied with Interview,,710,3.5,Engineering,N,10-15-2014,26,5,Aerospace and Defense,Science,General Management
univ,R1,Applying,,,,,N,,,0,,,
T*****,R2,Denied with Interview,,,3.6,Business,Y,01-08-2015,30,5,Other,General Management,General Management
wags888,R2,Invited to Interview,,700,3.5,Finance,N,01-07-2015,,,,,International Business
bbmudgal,R1,Application Submitted,,730,,Engineering,N,,,0,,,Sustainability
Private,-,-,-,-,-,-,-,-,-,-,-,-,-
fsucesar,R1,Waitlisted with Interview,United States,,3,Engineering,N,,,5,Military & Defense,Military Officer,General Management
Private,-,-,-,-,-,-,-,-,-,-,-,-,-
Fantabulous,R1,Applying,United States,,3.2,Engineering,N,,32,8,Consulting,Analyst,Operations
jinhwanpark,R1,Application Submitted,,,3.36,Economics,N,,,0,,,Nonprofit
dandub43,R2,Waitlisted with Interview,United States,,3.53,Political Science,N,,26,0,Health Care,Sales,Healthcare
mferrando@nexenconsulting.com.ar,R1,Applying,,,,,N,,,0,,,
Private,-,-,-,-,-,-,-,-,-,-,-,-,-
j*****,R1,Waitlisted with Interview,United States,720,3.6,,N,,,0,,Management Consulting,
d******,R1,Admitted,,,,Engineering,N,,,,,,
t******,R1,Denied without Interview,India,710,3.6,Computer Science,N,,28,4,Computer Software,Design,General Management
baifaheipi,R2,Waitlisted with Interview,,760,,,N,,,0,,,General Management
victoriaforte,R1,,,,,,N,,,0,,,
pushkarp,R2,Denied with Interview,India,710,3.7,Engineering,Y,01-06-2015,30,6,Consulting,Operations,Strategy
aa111,R3,Interviewed,United Kingdom,710,,,N,,,0,Commercial Banking,,
p**********,R1,Interviewed,,,,Business,Y,10-21-2013,,,,,Entrepreneurship
prefontaine,R1,Admitted,United States,680,3.62,Finance,N,,31,0,Venture Capital,Corporate Finance,Entrepreneurship
basel,R1,Admitted,United States,760,3.5,Engineering,N,,27,5,Aerospace and Defense,Engineering,General Management
A**********,R2,Interviewed,,760,,Engineering,N,,25,4,Manufacturing,General Management,General Management
p*****,R1,Applying,United States,700,2.3,Economics,N,,31,5,Entertainment and Sports,Corporate Finance,Strategy
eurofutbol16,R1,Admitted,,730,3.38,Accounting,Y,09-26-2014,28,6,Consulting,Operations,Finance
Private,-,-,-,-,-,-,-,-,-,-,-,-,-
tbaccari,R2,Applying,,,,,N,,,0,,,
worryisnothing,R2,Applying,,,,,N,,,0,,,Strategy
b*******,R1,Matriculating,Indonesia,740,,Engineering,Y,10-06-2014,25,3,Consumer Products,Project Management,Sustainability
secondtimesthecharm,R1,Denied with Interview,United States,730,3.9,Economics,N,10-09-2014,26,4,Other,Analyst,
Private,-,-,-,-,-,-,-,-,-,-,-,-,-
Shruthi90,R2,Applying,India,,3.03,Economics,N,,24,0,Other,Marketing,Marketing
A*****,R1,Invited to Interview,India,710,,,N,10-22-2014,,0,,,
dmarkham28,R1,Denied with Interview,United States,740,3.34,Business,Y,10-08-2014,24,2,Other,,Strategy
amolkupatkar,R1,Applying,,,,Engineering,N,,21,0,Energy and Utilities,Project Management,
simplexity,R2,Waitlisted with Interview,United States,710,3.73,,Y,,,0,,,
gauravshakya,R2,Applying,,,3.7,Science and Math,N,,,0,,,
arthi9487,R2,Admitted,,720,3.65,Accounting,N,,27,0,,,
rubygirl,R1,Waitlisted with Interview,,,,,N,,,0,,,
msidleyracer,R1,Interviewed,,,,,N,,,0,,,
finalist2,R1,Admitted,,,,,N,,,0,,,
b**********,R1,Denied with Interview,United States,720,3.1,Finance,N,,29,6,Real Estate,Other,Finance
ranjan29,R1,Applying,,740,,,N,,,0,,,Strategy
nitesh7vks,R1,Admitted,,740,,Engineering,N,10-16-2014,26,3,Consulting,Consulting,
gtgpee,R1,Denied with Interview,,740,3.75,Engineering,N,10-01-2014,,,,,
gmat730,R1,Applying,India,,3.5,Engineering,N,,29,6,Aerospace and Defense,Design,Entrepreneurship
kongdal2000,R2,Interviewed,,720,3.41,Arts,Y,02-04-2015,,0,,,Economics
jshaw38,R1,Applying,,,,,N,,,0,,,
rajmegaurav,R1,Applying,,,,,N,,,0,,,
nitevision88,R1,Denied with Interview,,740,3.84,Business,N,09-24-2014,26,4,Consulting,Information Technology,Marketing
washiwashi,R1,Applying,United States,730,3.7,Engineering,N,,30,5,Telecommunications,Engineering,General Management
luyst2,R1,Applying,,,,,N,,,0,,,
luckyducky7,R2,Admitted,,710,,Economics,Y,,,0,,,Healthcare
cissorz,R2,Waitlisted with Interview,United States,720,3.75,Finance,N,,27,0,Investment Banking,Asset Management,General Management
ishan23,R1,Denied without Interview,,760,,,N,,,0,,,
bml1105,R1,Matriculating,United States,710,,Business,N,,28,4,Other,Sales,Marketing
PMD8833,R1,Applying,,710,,,N,,,0,,,Strategy
PDHAV,R2,Admitted,Brazil,730,,Engineering,Y,01-22-2015,2009,6,Health Care,General Management,Healthcare
Private,-,-,-,-,-,-,-,-,-,-,-,-,-
Private,-,-,-,-,-,-,-,-,-,-,-,-,-
U******,R1,Admitted,,710,3.17,Economics,Y,,27,5,Commercial Banking,Underwriter,Finance
l************,R1,Waitlisted with Interview,United States,,,,N,,,0,,,
arshu27,R1,Applying,,,,,N,,,0,,,Technology
baajubhai,R2,Invited to Interview,,730,,,Y,01-13-2015,,0,,,
litlong,R2,Invited to Interview,,710,,,N,01-16-2015,,0,,,
bab5200,R1,Denied with Interview,,740,3.52,Engineering,Y,09-24-2014,26,3,Consulting,Consulting,Strategy
mlum09,R1,Denied with Interview,United States,740,2.74,Economics,N,,28,6,Consulting,Consulting,
metoyou2008,R2,Applying,,,,,N,,,0,,,
k_k007,R1,Applying,,,,,N,,,0,,,
IanKV,R2,Waitlisted with Interview,United States,700,3.22,Business,Y,01-12-2015,33,11,Retail,Operations,General Management
dtse86,R1,Waitlisted with Interview,,730,2.48,Engineering,Y,10-09-2014,28,7,Other,Engineering,Strategy
mas15,R1,Denied with Interview,,710,3.59,Finance,N,,,0,,,
Private,-,-,-,-,-,-,-,-,-,-,-,-,-
ankitsachdev,R2,Denied without Interview,Singapore,730,2.8,Engineering,N,,26,4,Energy and Utilities,Sales,Strategy
themoreyoudro,R2,Interviewed,,,3.77,Finance,N,,,0,,Corporate Finance,Finance
l****,R1,Waitlisted with Interview,United States,710,,,Y,,,0,,,
Private,-,-,-,-,-,-,-,-,-,-,-,-,-
Noeh,R2,Application Submitted,,710,3.37,Economics,N,,27,5,Consulting,Consulting,Strategy
Private,-,-,-,-,-,-,-,-,-,-,-,-,-
efrtls,R1,Application Submitted,,710,,,N,,,0,,,
Private,-,-,-,-,-,-,-,-,-,-,-,-,-
mbahopeful16,R2,Applying,,,,,N,,,0,,,
G********,R1,Waitlisted with Interview,United States,720,3.7,Engineering,Y,10-03-2014,25,3,Consulting,Consulting,Marketing
Private,-,-,-,-,-,-,-,-,-,-,-,-,-
Private,-,-,-,-,-,-,-,-,-,-,-,-,-
adiz,R2,Application Submitted,,710,3.91,Computer Science,N,,28,4,Computer Software,Engineering,Technology
OldSp4rk,R1,Applying,,570,3.7,Business,N,,,0,Retail,General Management,Marketing
nasa2mba,R2,Applying,,710,3.29,Science and Math,N,,,,,,Sustainability
rainynite99,R2,Applying,,,,,N,,,0,,,
jram24,R1,Applying,,,1.96,Health or Medical,N,,,0,,,Healthcare
Steffy,R2,Applying,,,,,N,,,0,,,Finance
Private,-,-,-,-,-,-,-,-,-,-,-,-,-
Hkasaiv,R2,Interviewed,,740,,,Y,,,0,,,
ASP88,R2,Admitted,,760,4,Law,N,,,,,,
tmcarthy121,R1,Applying,,,,,N,,,0,,,
haonan1988,R1,Denied with Interview,,750,3.22,Economics,N,,22,3,Law,Other,Finance
bceagles829,R1,Applying,,,,,N,,,0,,,
eesh23,R2,Admitted,,680,3.51,,Y,,,4,,,
Private,-,-,-,-,-,-,-,-,-,-,-,-,-
divyasreekumar,R1,Applying,,760,,,N,,,0,,,
Private,-,-,-,-,-,-,-,-,-,-,-,-,-
Private,-,-,-,-,-,-,-,-,-,-,-,-,-
utkmittal1,R2,Matriculating,India,760,3.2,Engineering,N,,26,4,Energy and Utilities,Engineering,General Management
kanes,R1,Application Submitted,,720,,,N,,,0,,,General Management
FPBULL,R1,Admitted,,710,,Science and Math,N,,,,,,General Management
puffytrout,R2,Denied with Interview,Singapore,720,3.75,Engineering,Y,01-05-2015,,0,Manufacturing,Project Management,Strategy
RohiniDG,R2,Applying,,,3.6,Business,N,,,0,,,
Charismasin,R1,,India,,3.52,Engineering,N,,,0,Manufacturing,Engineering,General Management
kmod,R1,Applying,,740,3.6,Engineering,N,,,0,,,
romanov89,R1,Admitted,,780,2.9,Engineering,Y,,,0,,,Entrepreneurship
tskeats,R1,Matriculating,,750,3.4,Engineering,N,,,0,,,
fbpointgod10,R1,Admitted,,710,3,Other,Y,10-01-2014,30,8,Military & Defense,Engineering,Operations
Private,-,-,-,-,-,-,-,-,-,-,-,-,-
manbear67,R2,Applying,,680,,,N,,,0,,,
wiseotherwise,R2,Interviewed,,700,,,Y,01-15-2015,,0,,,
Private,-,-,-,-,-,-,-,-,-,-,-,-,-
Private,-,-,-,-,-,-,-,-,-,-,-,-,-
abhjtm,R1,Denied with Interview,India,740,,Engineering,N,,28,5,Consulting,Consulting,Strategy
new2club,R1,Denied with Interview,,,,,N,,,0,,,
pway,R2,Denied without Interview,,770,,,N,,,0,,,
B**********,R2,Denied with Interview,United States,720,3.53,Engineering,Y,,,,,,Strategy
saumya90,R1,Applying,,,,,N,,,0,,,
vtitiun,R1,Admitted,United States,,4,Other,Y,10-07-2014,,0,Consulting,Consulting,
aksvismad,R1,Waitlisted with Interview,,710,,,N,10-24-2014,,0,,,Social Entrepreneurship
ccmba2017,R2,Admitted,,680,,,N,,,0,,,
Private,-,-,-,-,-,-,-,-,-,-,-,-,-
Wenger,R1,Denied with Interview,United States,,,Finance,Y,,,,,,Operations
BK2BC,R1,Applying,,,,,N,,,0,,,
Private,-,-,-,-,-,-,-,-,-,-,-,-,-
jayasrivaryani,R1,Application Submitted,United States,700,3.95,Engineering,N,,32,7,Computer Software,Consulting,General Management
anju9104,R1,Applying,United States,,,Engineering,N,,,2,Computer Software,Information Technology,
hzhan44,R1,Applying,,740,,,N,,,0,,,
sree652,R1,Applying,,,,,N,,,0,,,
anksruce,R1,Interviewed,,750,,,N,,,0,,,
redbull1,R2,Applying,,,,,N,,,0,,,
Ishaan44,R3,Applying,India,,4,Engineering,N,,23,2,Manufacturing,Manufacturing and Production,
mrsinghsingh,R2,Interviewed,,710,3.4,Health or Medical,N,01-21-2015,,0,,,General Management
gavriv,R1,Applying,United States,750,4,Science and Math,N,,27,4,Other,Other,Entrepreneurship
Private,-,-,-,-,-,-,-,-,-,-,-,-,-
Private,-,-,-,-,-,-,-,-,-,-,-,-,-
Webster,R2,Withdrawn Application,,760,3.95,Engineering,N,,25,3,Other,Project Management,General Management
scottgduncan,R1,Waitlisted with Interview,,710,3.6,Engineering,N,,,0,,,
jmh2,R1,Applying,,750,3.3,Economics,N,,25,4,Military & Defense,Military Officer,Entrepreneurship
shamsp86,R2,,,690,,Engineering,N,,,0,,,General Management
ggimenez,R1,Admitted,Brazil,730,,Law,Y,10-06-2014,29,6,Law,Law,General Management
architraj,R1,Applying,,,,,N,,,0,,,
renophilip1987,R2,Applying,,,3.3,Engineering,N,,28,6,Energy and Utilities,Engineering,
Anuradha19,R1,Applying,,770,,,N,,,0,,,General Management
Private,-,-,-,-,-,-,-,-,-,-,-,-,-
Private,-,-,-,-,-,-,-,-,-,-,-,-,-
uab100,R1,Interviewed,,720,,,N,,,0,,,
S*******,R2,Denied with Interview,India,,,,N,,,0,Energy and Utilities,General Management,General Management
Private,-,-,-,-,-,-,-,-,-,-,-,-,-
Private,-,-,-,-,-,-,-,-,-,-,-,-,-
d**********,R2,Admitted,United States,750,3.47,,N,,28,7,Venture Capital,,
mrjordank,R2,,,,3.19,Liberal Arts and Humanities,N,,,0,,,Finance
Private,-,-,-,-,-,-,-,-,-,-,-,-,-
jwsuh,R2,Interviewed,,,3.8,Engineering,Y,,,0,,,
Private,-,-,-,-,-,-,-,-,-,-,-,-,-
BoZoPaNdA,R1,Denied with Interview,,700,3.6,Engineering,N,,2015,5,Energy and Utilities,Engineering,Strategy
chetanshi,R1,Applying,,,,,N,,,0,,,
mgratzinger,R1,Waitlisted with Interview,,700,3.31,Engineering,Y,09-22-2014,27,4,Energy and Utilities,Engineering,Strategy
RedBlue6,R1,Admitted,,710,3.45,Business,Y,,25,3,Investment Banking,Analyst,Finance
Clevelandrocks58,R1,Waitlisted with Interview,,740,,Economics,N,,26,4,Consulting,,Marketing
mbarnes811,R2,Interviewed,,760,,Accounting,N,,30,7,Law,Analyst,General Management
swaroopraju,R2,Interviewed,,,,,N,,,0,,,
Private,-,-,-,-,-,-,-,-,-,-,-,-,-
Private,-,-,-,-,-,-,-,-,-,-,-,-,-
hughey20,R1,Denied with Interview,United States,680,3.23,Marketing,N,,26,0,Accounting,Marketing,Marketing
deepalijain,R1,Application Submitted,,,,,N,,,0,,,
Private,-,-,-,-,-,-,-,-,-,-,-,-,-
Private,-,-,-,-,-,-,-,-,-,-,-,-,-
yashsinha,R2,Application Submitted,India,740,2.87,Engineering,N,,26,4,Computer Software,Programming,Entrepreneurship
Private,-,-,-,-,-,-,-,-,-,-,-,-,-
a*********,R2,Applying,United States,,,Science and Math,N,,,0,Health Care,Research,Healthcare
cokeke12,R2,Admitted,,690,3,Economics,N,,25,3,Advertising and PR,Marketing,Marketing
udsarkar,R1,Applying,India,,,Accounting,N,,31,1,Consumer Products,Brand Management,Marketing
Icarus10,R1,Admitted,Australia,730,3.5,,Y,01-13-2015,,,,,
Private,-,-,-,-,-,-,-,-,-,-,-,-,-
adriancarabias,R2,Withdrawn Application,,580,,,N,,,0,,,
easy2type,R1,Denied with Interview,United States,740,3.1,Engineering,N,10-03-2014,27,5,Real Estate,General Management,Real Estate
m**********,R1,Interviewed,,740,3.7,Engineering,N,,27,3,Aerospace and Defense,Engineering,
Private,-,-,-,-,-,-,-,-,-,-,-,-,-
Private,-,-,-,-,-,-,-,-,-,-,-,-,-
puneet1785,R1,,,,,,N,,,0,,,
jbotero08,R2,Denied with Interview,,680,,Economics,N,,,,,,Nonprofit
m*******,R2,Application Submitted,United States,740,3.01,Economics,N,,27,5,Consulting,Human Resources,General Management
michel.rassy,R2,Interviewed,,700,3.5,Marketing,Y,01-23-2015,27,6,Real Estate,Business Development,Marketing
nfish,R2,Applying,,,3.85,Accounting,N,,,0,,,
k********,R2,Admitted,,720,,Business,N,,27,6,Advertising and PR,Advertising,Strategy
lizaais2006,R2,Applying,India,710,,Engineering,N,,14,0,Manufacturing,Marketing,
gmang,R1,Applying,,,,,N,,,0,,,Finance
Private,-,-,-,-,-,-,-,-,-,-,-,-,-
Atoysher,R2,Applying,,750,,,N,,,0,,,
behappy26,R1,Denied with Interview,,,3.8,,N,,,0,,,Marketing
gmatter780,R1,Admitted,,730,,,N,,,0,,,
ronaldo5035,R2,Interviewed,Brazil,690,,Engineering,N,,30,0,Energy and Utilities,General Management,General Management
Private,-,-,-,-,-,-,-,-,-,-,-,-,-
notkidding,R2,Admitted,,730,3.79,Communication,Y,01-12-2015,30,8,Non-Profit and Government,Consulting,Nonprofit
Private,-,-,-,-,-,-,-,-,-,-,-,-,-
