Username,Round,Status,Country,GMAT,UG GPA,UG Major,Int,Int Invite,Age,WE,Primary Industry,Primary Function,MBA Concentration
nitishgera,R1,Application Submitted,,720,,Engineering,N,,,0,Retail,Marketing,Marketing
dgr8sandeep,R1,Applying,,680,,,N,,,0,,,
alphawhiskey,R1,Invited to Interview,,,3.35,Political Science,Y,10-26-2015,,,,,Strategy
Private,-,-,-,-,-,-,-,-,-,-,-,-,-
mukulc,R1,Application Submitted,,,,,N,,,0,,,
tulika35,R1,Invited to Interview,,720,,,N,10-27-2015,,2,Consulting,Consulting,
Nihilist1002,R1,Applying,United States,,,Engineering,N,,,0,,,Finance
dolongdao,R2,Applying,,740,3.57,,N,,,0,,,Finance
samarthkapila,R1,Applying,India,740,,Engineering,N,,,0,Energy and Utilities,Project Management,Operations
Private,-,-,-,-,-,-,-,-,-,-,-,-,-
vijay556,R1,Application Submitted,United States,710,,Engineering,N,,26,5,Manufacturing,Engineering,Operations
Private,-,-,-,-,-,-,-,-,-,-,-,-,-
anshul2014,R1,Applying,,,,,N,,,0,,,
H**************,R1,Invited to Interview,China,740,3.04,Liberal Arts and Humanities,N,10-27-2015,29,6,Education,Business Development,Strategy
daisuke1218,R1,Application Submitted,,710,,,N,,,0,,,Finance
unrealatul,R1,Applying,,690,2.75,Engineering,N,,27,5,Consumer Products,Operations,Technology
ferguson49,R1,Applying,,,3.4,Political Science,N,,,0,,,General Management
salestomba,R1,Applying,,690,,,N,,,0,,,
365Freakout,R2,Applying,,680,3.63,Finance,N,,26,4,Aerospace and Defense,Corporate Finance,Strategy
jayanthjanardhan,R2,Applying,India,,,Engineering,N,,,0,Consulting,Information Technology,Technology
Private,-,-,-,-,-,-,-,-,-,-,-,-,-
ninadpurkar,R1,Applying,United States,690,3.7,Engineering,N,,,0,Manufacturing,Business Development,General Management
Private,-,-,-,-,-,-,-,-,-,-,-,-,-
Private,-,-,-,-,-,-,-,-,-,-,-,-,-
sourabhsur123,R1,Applying,India,760,3.5,Engineering,N,,27,5,Consumer Electronics,Information Technology,Technology
g**********,R1,Applying,United States,,4,Engineering,N,,,0,Non-Profit and Government,Social Work,Social Entrepreneurship
mohamedfaras,R1,Applying,,,,,N,,,0,,,
aditya95,R1,Applying,,,,Engineering,N,,,0,,,Strategy
Olerin,R1,Applying,United States,,3.7,Engineering,N,,,0,Manufacturing,Engineering,Operations
Bazooka700,R1,Applying,,560,,Engineering,N,,,4,Consulting,Consulting,
sankrutimehta,R1,Applying,India,,3.97,Finance,N,,,0,,,Finance
ohjoe1,R2,Applying,,,,,N,,,0,,,
kunalair1,R2,Applying,,,3.5,Engineering,N,,,0,,,Finance
Private,-,-,-,-,-,-,-,-,-,-,-,-,-
Private,-,-,-,-,-,-,-,-,-,-,-,-,-
ilya49,R1,Applying,,,,,N,,,0,,,
sudnagaval,R1,Applying,,710,3.54,Engineering,N,,25,2,Telecommunications,Programming,Finance
Private,-,-,-,-,-,-,-,-,-,-,-,-,-
thinht,R2,Applying,,,,,N,,,0,,,Finance
gforcesmith,R2,Applying,,700,,,N,,,0,,,
Private,-,-,-,-,-,-,-,-,-,-,-,-,-
aja1991,R1,Applying,Uzbekistan,620,3.4,Finance,N,,,0,Commercial Banking,Analyst,Finance
Ignatius,R2,Applying,,720,,,N,,,0,,,
Dhivya89,R1,Application Submitted,,,,,N,,,0,,,
tonykappen,R1,Applying,,,,,N,,,0,,,
saadis87,R1,Applying,,,,,N,,,0,,,
whiteowl,R1,Invited to Interview,,,,,Y,10-26-2015,,0,,,
nishita21,R1,Applying,,,,,N,,,0,,,
Private,-,-,-,-,-,-,-,-,-,-,-,-,-
kittypryde,R1,Applying,,,,,N,,,0,,,
atlmba2018,R1,Application Submitted,,740,3.83,Engineering,N,,,0,Consulting,,
cdf123,R1,Application Submitted,,760,3.42,,N,,25,4,Other,Analyst,General Management
ayiratak,R1,Applying,,,0,,N,,,0,,,
usernamed,R1,Application Submitted,,,,,N,,,0,,,
G**,R1,Invited to Interview,,730,,Business,N,10-26-2015,25,5,Consumer Products,Supply Chain Management,Strategy
sayingtheresachance,R1,Invited to Interview,United States,710,3.79,Finance,N,10-26-2015,26,4,Consulting,Analyst,
jysan2001,R1,Invited to Interview,,780,3.45,Engineering,N,10-26-2015,27,6,Other,Engineering,Strategy
Puneet1011,R1,Applying,United States,,,,N,,,6,Computer Software,,General Management
Private,-,-,-,-,-,-,-,-,-,-,-,-,-
Private,-,-,-,-,-,-,-,-,-,-,-,-,-
joshuacdsmith,R1,Invited to Interview,,730,3.9,Economics,Y,10-26-2015,26,4,Internet and New Media,Analyst,General Management
MbaConfucius,R1,Applying,,,3.54,Science and Math,N,,,0,,,Finance
Private,-,-,-,-,-,-,-,-,-,-,-,-,-
optimusTR,R1,Invited to Interview,,,,Business,N,10-26-2015,,,,,
3.nigel,R1,Applying,,,,Marketing,N,,,0,,,Strategy
Celestial09,R1,Applying,United States,,,Finance,N,,,6,Investment Banking,Asset Management,Finance
rajeshrkv,R1,Applying,,730,,,N,,,0,,,
anju9104,R1,Applying,United States,,,Engineering,N,,,2,Computer Software,Information Technology,
TheFloridian,R1,Invited to Interview,,,,Marketing,Y,10-26-2015,,,,,
knocking,R1,Application Submitted,India,740,,Engineering,N,,,7,Computer Software,Information Technology,Entrepreneurship
rajanaren075,R2,Applying,India,680,3.41,Engineering,N,,25,4,Commercial Banking,General Management,Finance
rashed27,R2,Applying,,,,,N,,,0,,,
eshan429,R1,Application Submitted,India,770,,Computer Science,N,,,0,Retail Banking,Analyst,Other
m***********,R1,Applying,United States,,,,N,,,0,,,
Private,-,-,-,-,-,-,-,-,-,-,-,-,-
tiwarijay92,R1,Application Submitted,India,730,2.92,Engineering,N,,23,2,Consulting,Engineering,General Management
Private,-,-,-,-,-,-,-,-,-,-,-,-,-
Vahdam,R1,Application Submitted,,,,,N,,,6,Consumer Products,Business Development,
rdeepak0509,R1,Application Submitted,,720,,,N,,27,7,Consulting,Analyst,Strategy
g*********,R1,Applying,United States,730,3.9,Engineering,N,,28,7,Other,Engineering,Technology
Private,-,-,-,-,-,-,-,-,-,-,-,-,-
kobaum,R1,Applying,,,,,N,,,0,,,
letlive,R1,Application Submitted,,710,,,N,,27,3,,,Technology
Manik92,R1,Applying,United States,,,Engineering,N,,,0,,,Strategy
O********,R1,Invited to Interview,,780,3.28,Liberal Arts and Humanities,N,10-26-2015,33,10,Military & Defense,Military Officer,Strategy
Private,-,-,-,-,-,-,-,-,-,-,-,-,-
tanukaushik,R2,Applying,,,,,N,,,0,,,
nklotz,R1,Applying,,,,,N,,,0,,,Finance
RuggerBear,R1,Applying,Argentina,,,Other,N,,,0,Energy and Utilities,Human Resources,General Management
gokulmantri,R2,Applying,,,0,Engineering,N,,25,4,Computer Software,Information Technology,
rahulprasad,R1,Applying,,710,,,N,,,0,,,
a************,R1,Applying,United States,,,,N,,22,0,Non-Profit and Government,Project Management,
asaar,R1,Applying,,,,,N,,,6,Consulting,Engineering,Social Entrepreneurship
Private,-,-,-,-,-,-,-,-,-,-,-,-,-
rohanpanjiar,R1,Applying,,710,,,N,,26,0,Consulting,Marketing,Marketing
generalist,R1,Application Submitted,,740,4,Computer Science,N,,28,5,Consulting,Consulting,Strategy
kumararushi,R1,Applying,,750,,Engineering,N,,25,4,Consulting,,Strategy
sromano13,R1,Applying,,,,,N,,,0,,,
kk277,R1,Applying,,,,,N,,22,0,Manufacturing,Engineering,Operations
Mahesh91,R1,Applying,India,,,Engineering,N,,,0,Energy and Utilities,Marketing,Marketing
Private,-,-,-,-,-,-,-,-,-,-,-,-,-
FatBoyfrmInD,R2,Applying,,720,,Computer Science,N,,26,4,Health Care,Information Technology,General Management
Private,-,-,-,-,-,-,-,-,-,-,-,-,-
RaghavEY,R1,Applying,,,,,N,,,0,,,
juanirecalde,R2,Applying,United States,740,,,N,,,0,,,Real Estate
aert06,R1,Applying,,650,,,N,,,0,,,Economics
mehuldixit,R1,Applying,,730,,,N,,,0,,,Strategy
Private,-,-,-,-,-,-,-,-,-,-,-,-,-
asr913,R1,Applying,United States,650,3.72,Other,N,,29,6,Other,Editorial and Writing,
crackgmat15,R1,Applying,United States,,3.1,Engineering,N,,,0,Consulting,Consulting,Strategy
Private,-,-,-,-,-,-,-,-,-,-,-,-,-
Ed2289,R1,Invited to Interview,United States,710,3.06,Other,N,10-26-2015,28,5,Hospitality and Tourism,Accounting,Strategy
srshrikant,R1,Applying,,740,,Engineering,N,,,0,,,Finance
greyhound91,R1,Applying,,,4,Business,N,,,0,,,
s*****,R1,Application Submitted,,720,3.94,Engineering,N,,,0,Energy and Utilities,Engineering,Strategy
Private,-,-,-,-,-,-,-,-,-,-,-,-,-
rrbunch4,R2,Applying,United States,,,Business,N,,,,,,Finance
chaojie999,R1,Application Submitted,,,,,N,,,0,,,
chesterstreet,R1,Applying,,,,,N,,,0,,,Strategy
fauriemma,R1,Invited to Interview,United States,,3.34,,N,10-26-2015,,0,,,
adityapande,R1,Applying,India,710,,Engineering,N,,28,4,Manufacturing,Supply Chain Management,
y2serious,R1,Application Submitted,,740,,,N,,,0,,,
bluejsea7,R1,Applying,,710,,Computer Science,N,,,,,,Technology
Private,-,-,-,-,-,-,-,-,-,-,-,-,-
Private,-,-,-,-,-,-,-,-,-,-,-,-,-
lawk,R1,Applying,United States,,,Science and Math,N,,28,0,Pharmaceuticals and Biotech,Research,Healthcare
Private,-,-,-,-,-,-,-,-,-,-,-,-,-
thomas4,R1,Application Submitted,,680,3.99,Science and Math,N,,,,,,Strategy
drummond55,R1,Applying,United States,,3.69,Accounting,N,,27,4,Accounting,Asset Management,General Management
sagar2286,R1,Applying,,750,,,N,,,0,,,
anant07,R1,Applying,India,720,,Engineering,N,,,0,Consulting,Analyst,
adamz213,R1,Applying,United States,690,3.54,Accounting,N,,,0,Insurance,Accounting,Strategy
crad223,R1,Applying,United States,690,3.19,Engineering,N,,27,6,Computer Software,Account Management,
Jellybean90,R1,Application Submitted,,,,,N,,,0,,,Strategy
npash15,R1,Invited to Interview,,,,,Y,10-26-2015,,0,,,
Private,-,-,-,-,-,-,-,-,-,-,-,-,-
SherLocked2018,R2,Applying,,680,4,Computer Science,N,,,,,,Entrepreneurship
wallflower13,R2,Applying,India,770,,Engineering,N,,25,3,Manufacturing,Sales,Strategy
Private,-,-,-,-,-,-,-,-,-,-,-,-,-
Private,-,-,-,-,-,-,-,-,-,-,-,-,-
jorgerodriguez,R1,Applying,United States,690,3.49,Marketing,N,,26,4,Advertising and PR,Analyst,Marketing
atcooke,R1,Invited to Interview,United States,710,,Engineering,N,10-26-2015,25,4,Military & Defense,Engineering,General Management
sidgoel,R1,Applying,,680,,,N,,,0,,,General Management
shuyi433,R1,Applying,,,,,N,,,0,,,
Private,-,-,-,-,-,-,-,-,-,-,-,-,-
abhigyansmit,R1,Applying,,,,,N,,,0,,,
Private,-,-,-,-,-,-,-,-,-,-,-,-,-
sidduvicster,R2,Applying,India,700,,Engineering,N,,26,4,Manufacturing,Project Management,Strategy
adityapuri,R1,Applying,United States,720,,Engineering,N,,26,4,Consulting,Consulting,
natarajansrikrishnan,R1,Application Submitted,United Arab Emirates,730,3.7,Engineering,N,,25,4,Pharmaceuticals and Biotech,Engineering,Strategy
llaroo,R1,Applying,,700,3.2,Other,N,,,0,,,Entrepreneurship
scoobie,R1,Applying,,,,Engineering,N,,,0,Other,Engineering,
legislooter,R1,Invited to Interview,United States,730,3.6,Science and Math,N,10-26-2015,,0,Other,General Management,General Management
shail2509,R1,Applying,,,,,N,,,0,,,International Business
Private,-,-,-,-,-,-,-,-,-,-,-,-,-
99souvik,R1,Applying,India,720,3.39,Engineering,N,,29,5,Manufacturing,Operations,Operations
RNGallagher,R1,Applying,United States,,,,N,,,0,,,
mrsunburn,R1,Invited to Interview,United States,760,2.77,Liberal Arts and Humanities,N,10-26-2015,29,6,Non-Profit and Government,Research,Nonprofit
target8000,R1,Applying,,,,,N,,,0,,,Nonprofit
Private,-,-,-,-,-,-,-,-,-,-,-,-,-
BeatlesFan,R1,Application Submitted,India,,,Engineering,N,,27,6,Telecommunications,Information Technology,Technology
brooklinegirl,R1,Applying,,,3.4,Marketing,N,,,0,,,Entrepreneurship
AjeethSwami,R1,Application Submitted,,730,,Engineering,N,,,5,Manufacturing,Design,
MRogers158,R1,Applying,United States,,,,N,,30,0,Military & Defense,Military Officer,General Management
Private,-,-,-,-,-,-,-,-,-,-,-,-,-
hearsay,R1,Applying,,690,3.6,Engineering,N,,28,5,Advertising and PR,Account Management,Technology
Private,-,-,-,-,-,-,-,-,-,-,-,-,-
GaneshPrasad,R1,Applying,,,3.39,Engineering,N,,21,3,Non-Profit and Government,General Management,Marketing
rahultomar1607,R1,Applying,United States,,,Computer Science,N,,26,0,Computer Software,Business Development,Finance
rai99,R1,Applying,,,,,N,,,0,,,Technology
Sidharth0987,R1,Applying,,,,Engineering,N,,,0,Consulting,Consulting,Strategy
anjalimathur1003,R1,Invited to Interview,India,730,,Business,N,10-27-2015,,0,,,General Management
LeoStar,R2,Applying,India,610,,Engineering,N,,28,6,Other,Information Technology,Technology
nbalow,R1,Application Submitted,,720,,,N,,,0,,,
fury123,R1,Application Submitted,India,740,,Engineering,N,,25,3,Manufacturing,Research,General Management
mattcj,R1,Applying,,,,,N,,,0,,,Marketing
g**,R1,Invited to Interview,Brazil,750,2.7,Law,N,10-26-2015,31,8,Law,Law,
Private,-,-,-,-,-,-,-,-,-,-,-,-,-
hennaj,R2,Applying,,,,,N,,,0,,,
andydc20,R1,Applying,United States,,,Economics,N,,,,,,Finance
ppushkalp9,R1,Applying,India,720,,Engineering,N,,27,5,Consumer Products,Supply Chain Management,Operations
s*******,R1,Application Submitted,,,,Engineering,N,,,,,,General Management
augcat,R2,Applying,,750,,,N,,25,0,Education,Consulting,Strategy
captpratyush,R1,Applying,,,,Engineering,N,,28,5,Military & Defense,Military Officer,Finance
amitanand14,R1,Application Submitted,,730,3.47,Engineering,N,,35,1,Aerospace and Defense,Project Management,General Management
GMATAssociate,R2,Applying,,730,2.97,Accounting,N,,28,6,Accounting,,Social Entrepreneurship
overboard,R1,Invited to Interview,,740,,,N,10-26-2015,,0,,,Strategy
rajatmehrotra20,R1,Applying,United States,710,3.12,Engineering,N,,27,4,Manufacturing,Manufacturing and Production,Operations
gwycliff,R1,Invited to Interview,,,3.08,Liberal Arts and Humanities,Y,10-26-2015,28,4,Education,,General Management
pedrotupy,R1,Applying,,680,,,N,,,0,,,
kapoormanas1,R1,Application Submitted,India,740,,Science and Math,N,,,0,Consulting,Analyst,Strategy
fudgeysludge,R1,Applying,,,,,N,,,0,,,
shshnkagrawal,R1,Applying,,610,,Engineering,N,,25,3,Computer Software,Information Technology,
nommit,R2,Applying,,,,,N,,,0,,,
cubemaster,R1,Application Submitted,Indonesia,710,2.67,Computer Science,N,,27,5,Computer Software,Business Development,Entrepreneurship
nitinagg29,R1,Applying,India,,3.5,Computer Science,N,,17,4,Computer Software,Information Technology,International Business
Leo Urso,R1,Applying,,680,,,N,,,0,,,
ddcallahan2,R2,Applying,,,,,N,,,0,,,
namrao@outlook.com,R1,Applying,,,,,N,,,0,,,
Private,-,-,-,-,-,-,-,-,-,-,-,-,-
arvindmba,R1,Invited to Interview,India,770,3.34,Engineering,N,10-27-2015,28,1,Manufacturing,Marketing,General Management
lh47620,R2,Applying,,,,,N,,,0,,,
Private,-,-,-,-,-,-,-,-,-,-,-,-,-
apoorv601,R1,Applying,,750,,Engineering,N,,,0,,,Operations
shyamnambiar,R1,Application Submitted,,710,,Engineering,N,,42,15,Aerospace and Defense,Operations,Operations
layan,R1,Applying,Brazil,,,Engineering,N,,,0,Consulting,Consulting,Finance
BEshgh,R1,Applying,,,3,Finance,N,,22,0,Investment Banking,Corporate Finance,
PolarCatastrophe,R2,Applying,United States,,3.92,Science and Math,N,,29,3,Other,Science,Operations
sailor1984,R1,Applying,,760,3.5,Science and Math,N,,,0,Transportation,Operations,General Management
t************,R1,Applying,United States,,3.3,Engineering,N,,31,6,Non-Profit and Government,General Management,Technology
ryan27,R1,Applying,United States,,3.49,Economics,N,,28,5,Consulting,Analyst,General Management
charko88,R1,Invited to Interview,United States,720,3.2,Engineering,N,10-26-2015,29,4,Manufacturing,Consulting,Strategy
joeburtner,R2,Applying,,700,,,N,,,,,,
aditya0401,R1,Invited to Interview,India,770,,Engineering,Y,10-27-2015,31,8,Health Care,Management Consulting,Healthcare
seeingthrough110,R1,Applying,,690,,,N,,,0,,,
Mustard,R2,Applying,United States,710,3.7,Economics,N,,23,2,Accounting,Accounting,Entrepreneurship
Private,-,-,-,-,-,-,-,-,-,-,-,-,-
Attie,R1,Applying,,,,,N,,,0,,,
hb4100,R1,Applying,,710,,,N,,,0,,,Entrepreneurship
Private,-,-,-,-,-,-,-,-,-,-,-,-,-
vt1991,R1,Application Submitted,,740,,Engineering,N,,25,3,Energy and Utilities,Engineering,Strategy
Private,-,-,-,-,-,-,-,-,-,-,-,-,-
personifa,R1,Invited to Interview,,,3.23,Liberal Arts and Humanities,Y,10-26-2015,30,0,Entertainment and Sports,,
mlane,R2,Applying,,,,,N,,,0,,,
Private,-,-,-,-,-,-,-,-,-,-,-,-,-
smkashikar,R1,Applying,,,,Engineering,N,,,0,,,Finance
ajp1215,R2,Applying,,,,,N,,,0,,,Marketing
yadneo,R1,Application Submitted,India,730,,,N,,23,0,Other,Other,Entrepreneurship
Private,-,-,-,-,-,-,-,-,-,-,-,-,-
BradEshgh,R1,Applying,,,,,N,,,0,,,
als18,R1,Applying,,,,,N,,,0,,,
aswer,R1,Invited to Interview,United States,730,3.61,Engineering,N,10-26-2015,29,5,Manufacturing,Engineering,Operations
rsindhu,R1,Applying,India,760,3.9,Engineering,N,,,0,,,Social Entrepreneurship
brio,R2,Applying,India,770,,Engineering,N,,25,4,Consumer Electronics,Engineering,Entrepreneurship
stephenhingston,R1,Invited to Interview,,730,3.35,Engineering,N,10-26-2015,28,6,Consumer Products,Engineering,Strategy
prasadbsrk,R1,Application Submitted,,710,,,N,,,0,,,General Management
S*****,R1,Applying,India,740,,Engineering,N,,29,6,Manufacturing,Business Development,Strategy
aniketkaushik,R1,Applying,,,,,N,,,0,,,
theduzzi813,R1,Applying,,720,3.9,Education,N,,29,4,Law,Law,Finance
a*******,R2,Applying,,770,,Engineering,N,,28,6,Telecommunications,Engineering,Technology
HaddyPainkiller,R2,Applying,India,720,3.8,Engineering,N,,22,1,Non-Profit and Government,Engineering,Marketing
thecheftony,R1,Application Submitted,United States,750,3.78,Engineering,N,,28,4,Pharmaceuticals and Biotech,Engineering,Entrepreneurship
Private,-,-,-,-,-,-,-,-,-,-,-,-,-
cmp410,R2,Applying,,730,,,N,,,0,,,
prannoykothari,R1,Applying,,,,,N,,,0,,,
kmm239,R2,Applying,United States,710,,Communication,N,,27,0,,,Marketing
Bhagyesh09,R1,Applying,,,3.3,Engineering,N,,26,4,Consulting,Consulting,General Management
kamathimanshu,R1,Applying,United States,,3.2,Engineering,N,,25,3,Telecommunications,Information Technology,Entrepreneurship
Nagendra&amp;gt;&amp;gt;&amp;gt;,R1,Applying,,,,,N,,,0,,,
Private,-,-,-,-,-,-,-,-,-,-,-,-,-
aj123456,R1,Invited to Interview,,720,,,N,10-26-2015,,0,,,
ankitmac,R2,Applying,India,730,,Engineering,N,,27,6,Energy and Utilities,Engineering,General Management
dk2016,R2,Applying,,,3.48,Business,N,,26,0,Military & Defense,Supply Chain Management,
sj0070,R2,Applying,,690,,Computer Science,N,,29,6,Consulting,Consulting,Strategy
Private,-,-,-,-,-,-,-,-,-,-,-,-,-
kaswing,R2,Applying,,,,Engineering,N,,21,2,Computer Software,Marketing,
westcoastmonkey425,R1,Invited to Interview,,710,3.42,Accounting,N,10-26-2015,,4,Real Estate,,
mwall744,R1,Application Submitted,,760,3.42,Engineering,N,,30,7,Manufacturing,Engineering,General Management
Private,-,-,-,-,-,-,-,-,-,-,-,-,-
manolocaramelo,R2,Applying,,660,,Engineering,N,,,0,,,
HAimar,R2,Applying,,,,,N,,,0,,,
Jchaps,R1,Applying,,,,,N,,,0,,,Finance
calimujer1220,R1,Invited to Interview,,740,3.79,Other,Y,10-26-2015,,0,,,Social Entrepreneurship
Verde,R1,Applying,,,3.55,Finance,N,,28,4,Non-Profit and Government,Business Development,Sustainability
raza.lakhani,R1,Application Submitted,,710,3.11,Business,N,,27,6,Other,Analyst,Finance
npacchioli,R3,Applying,,,3.22,Engineering,N,,28,4,Energy and Utilities,Engineering,
Tmchck86,R1,Invited to Interview,United States,730,3.52,Business,Y,10-26-2015,26,4,Consulting,Consulting,Marketing
sophmonica,R1,Application Submitted,United States,,3.76,Accounting,N,,30,7,Accounting,General Management,
schelljo,R2,Applying,United States,,3.45,Arts,N,,31,0,Hospitality and Tourism,Real Estate,Finance
prgolfer,R1,Invited to Interview,,750,3.54,Finance,N,10-26-2015,,,,,Finance
O*****,R1,Invited to Interview,,,,Liberal Arts and Humanities,N,10-26-2015,32,9,Non-Profit and Government,Corporate Finance,Entrepreneurship
Private,-,-,-,-,-,-,-,-,-,-,-,-,-
singhal0389,R1,Invited to Interview,,,,Engineering,Y,10-22-2015,,0,,,Social Entrepreneurship
Private,-,-,-,-,-,-,-,-,-,-,-,-,-
M****,R1,Invited to Interview,,770,3.3,Finance,Y,10-26-2015,,,,,
Private,-,-,-,-,-,-,-,-,-,-,-,-,-
AvgEng,R1,Application Submitted,,740,3.71,Engineering,N,,26,4,,,Finance
jbg331,R1,Invited to Interview,,,,,N,11-21-2015,,0,,,
james44,R1,Application Submitted,,720,,,N,,,0,,,
Private,-,-,-,-,-,-,-,-,-,-,-,-,-
Private,-,-,-,-,-,-,-,-,-,-,-,-,-
k*****,R1,Application Submitted,United States,,3.5,Finance,N,,,0,Consulting,Information Technology,Marketing
brauba,R2,Applying,United States,660,3.83,Accounting,N,,28,5,Investment Banking,Corporate Finance,Healthcare
aneeshchhabra,R1,Application Submitted,United States,,,Engineering,N,,,,,,Operations
